Code,Description
1,Distance Block - 1-50 miles
2,Distance Block - 51-100 miles
3,Distance Block - 101-150 miles
4,Distance Block - 151-200 miles
5,Distance Block - 201-250 miles
6,Distance Block - 251-300 miles
7,Distance Block - 301-350 miles
8,Distance Block - 351-400 miles
9,Distance Block - 401-450 miles
10,Distance Block - 451-500 miles
11,Distance Block - 501-550 miles
12,Distance Block - 551-600 miles
13,Distance Block - 601-650 miles
14,Distance Block - 651-700 miles
15,Distance Block - 701-750 miles
16,Distance Block - 751-800 miles
17,Distance Block - 801-850 miles
18,Distance Block - 851-900 miles
19,Distance Block - 901-950 miles
20,Distance Block - 951-1000 miles
21,Distance Block - 1001-1050 miles
22,Distance Block - 1051-1100 miles
23,Distance Block - 1101-1150 miles
24,Distance Block - 1151-1200 miles
25,Distance Block - 1201-1250 miles
26,Distance Block - 1251-1300 miles
27,Distance Block - 1301-1350 miles
28,Distance Block - 1351-1400 miles
29,Distance Block - 1401-1450 miles
30,Distance Block - 1451-1500 miles
31,Distance Block - 1501-1550 miles
32,Distance Block - 1551-1600 miles
33,Distance Block - 1601-1650 miles
34,Distance Block - 1651-1700 miles
35,Distance Block - 1701-1750 miles
36,Distance Block - 1751-1800 miles
37,Distance Block - 1801-1850 miles
38,Distance Block - 1851-1900 miles
39,Distance Block - 1901-1950 miles
40,Distance Block - 1951-2000 miles
41,Distance Block - 2001-2050 miles
42,Distance Block - 2051-2100 miles
43,Distance Block - 2101-2150 miles
44,Distance Block - 2151-2200 miles
45,Distance Block - 2201-2250 miles
46,Distance Block - 2251-2300 miles
47,Distance Block - 2301-2350 miles
48,Distance Block - 2351-2400 miles
49,Distance Block - More than 2400 miles
